Filiale,Datum,Uhrzeit,Artikel,Anzahl,Preis,Verkäufer,Kunde
A,1.9.2012,8:10,0001,1,9.99,Carlo,11
A,1.9.2012,8:10,2001,5,1.49,Carlo,11
A,1.9.2012,8:11,2007,5,2.49,Carlo,11
A,1.9.2012,8:11,4001,1,1.49,Carlo,11
A,1.9.2012,8:12,0001,1,9.99,Carlo,13
A,1.9.2012,8:12,4001,5,1.99,Carlo,13
A,1.9.2012,8:12,2147,5,6.49,Carlo,13
A,1.9.2012,8:12,4001,1,1.49,Carlo,13
A,1.9.2012,8:21,4001,2,1.99,Katharina,14
A,1.9.2012,9:10,0002,1,3.99,Carlo,
A,1.9.2012,9:10,2001,5,1.49,Carlo,
A,1.9.2012,9:11,2007,5,2.49,Carlo,0
B,1.9.2012,9:10,0007,1,9.99,Felix,19
B,1.9.2012,9:10,2001,2,1.49,Felix,19
B,1.9.2012,9:11,2007,5,2.39,Felix,19
B,1.9.2012,9:11,4001,1,1.59,Felix,19
B,1.9.2012,8:12,0001,1,9.99,Felix,13
B,1.9.2012,8:12,4001,5,1.99,Felix,13
B,1.9.2012,8:12,2147,5,6.49,Felix,13
B,1.9.2012,8:12,4001,1,1.49,Felix,13
B,1.9.2012,8:21,4001,2,1.99,Felix,13
B,1.9.2012,9:10,0002,1,3.99,Felix,
B,1.9.2012,9:10,2001,1,2099.49,Felix,
B,1.9.2012,9:11,2007,1,2.49,Felix,
B,1.9.2012,9:20,2147,1,2.49,Felix,
B,1.9.2012,9:20,2147,1,2.49,Felix,
B,1.9.2012,9:20,2147,1,2.49,Felix,
B,1.9.2012,10:20,2147,1,2.49,Felix,
A,1.9.2012,10:21,0001,1,9.99,Carlo,
A,1.9.2012,10:21,2001,5,9.99,Carlo,
A,1.9.2012,10:21,2001,5,1.49,Carlo,
B,2.9.2012,10:12,0001,1,9.99,Felix,17
B,2.9.2012,10:12,4001,2,1.99,Felix,17
B,2.9.2012,10:12,2147,5,6.29,Felix,17
A,2.9.2012,8:10,0001,1,9.99,Carlo,1
A,2.9.2012,8:10,2001,5,1.49,Carlo,1
A,2.9.2112,8:11,2007,5,2.49,Carlo,1
A,2.9.2012,8:11,4001,1,1.49,Carlo,1
A,2.9.2012,8:12,0001,1,9.99,Carlo,13
A,2.9.2012,8:12,4001,5,1.99,Carlo,13
A,2.9.2012,8:12,2147,5,6.49,Carlo,13
A,2.9.2012,8:12,4001,1,1.49,Carlo,13
A,2.9.2012,8:21,4001,2,1.99,Katharina,14
A,2.9.2012,13:10,0001,1,3.99,Carlo,
A,2.9.2012,13:10,2001,5,1.49,Carlo,
A,2.9.2012,13:11,2007,5,2.49,Carlo,12
B,2.9.2012,13:10,0007,1,9.99,Felix,11
B,2.9.2012,13:10,2001,2,1.49,Felix,11
B,2.9.2012,13:11,2007,5,2.39,Felix,11
B,2.9.2012,14:11,4001,1,1.59,Felix,11
B,3.9.2012,8:12,0001,1,9.99,Felix,13
B,3.9.2012,8:12,4001,5,1.99,Felix,13
B,3.9.2012,8:12,2147,5,6.49,Felix,13
B,3.9.2012,8:12,4001,1,1.49,Felix,13
B,3.9.2012,8:21,4001,2,1.99,Felix,14
B,3.9.2012,9:10,0002,1,3.99,Felix,
B,3.9.2012,9:10,2001,1,1.49,Felix,
B,3.9.2012,9:11,2007,1,2.49,Felix,
B,3.9.2012,9:20,2147,1,2.49,Felix,
B,3.9.2012,9:20,2147,1,2.49,Felix,
B,3.9.2012,9:20,2148,1,2.49,Felix,
B,3.9.2012,10:20,2147,1,2.49,Felix,
A,3.9.2012,10:21,0001,1,9.99,Carlo,
A,3.9.2012,10:21,2001,5,1.49,Carlo,
A,3.9.2012,10:21,2001,5,1.49,Carlo,
B,3.9.2012,10:12,0001,1,9.99,Felix,13
B,3.9.2012,10:12,4001,2,1.99,Felix,13
B,3.9.2012,10:12,2147,2,6.29,Felix,13
A,3.9.2012,11:10,0001,1,9.99,Carlo,11
A,3.9.2012,11:10,2001,5,1.49,Carlo,11
A,3.9.2012,11:11,2007,5,2.49,Carlo,11
A,3.9.2012,11:12,4001,1,1.49,Carlo,1
A,3.9.2012,11:17,0001,1,9.99,Carlo,13
A,3.9.2012,11:17,4001,5,1.99,Carlo,13
A,3.9.2012,12:17,2147,5,6.49,Carlo,13
A,3.9.2012,12:17,4001,1,1.49,Carlo,13
A,3.9.2012,12:21,4001,2,1.99,Katharina,14
A,3.9.2012,13:10,0002,1,3.99,Carlo,
A,3.9.2012,13:10,2001,5,1.49,Carlo,
A,3.9.2012,13:11,2007,5,2.49,Carlo,0
B,3.9.2012,17:10,0007,1,9.99,Felix,11
B,3.9.2012,17:10,2001,2,1.49,Felix,11
B,3.9.2012,17:11,2007,5,2.39,Felix,11
B,3.9.2012,17:11,4001,1,1.59,Felix,11
B,3.9.2012,17:12,0001,1,9.99,Felix,13
B,3.9.2012,17:12,4001,5,1.99,Felix,13
B,3.9.2012,17:12,2147,5,6.49,Felix,13
B,3.9.2012,17:12,4001,1,1.49,Felix,13
B,3.9.2012,17:21,4001,2,1.99,Felix,14
B,3.9.2012,18:10,0002,3,3.99,Felix,
B,3.9.2012,18:11,2007,1,2.49,Felix,
B,3.9.2012,18:20,2147,1,2.49,Felix,
B,3.9.2012,18:20,2147,1,2.49,Felix,
B,3.9.2012,18:20,2147,1,2.49,Felix,
B,3.9.2012,18:20,2147,1,2.49,Felix,
A,3.9.2012,18:21,0001,1,9.99,Carlo,
A,3.9.2012,18:21,2001,5,9.99,Carlo,
A,3.9.2012,18:21,2001,5,1.49,Carlo,
B,3.9.2012,18:12,0001,1,9.99,Felix,1
B,3.9.2012,10:12,4001,2,1.99,Felix,13
B,3.9.2012,10:12,2147,5,6.29,Felix,13
A,3.9.2012,17:10,0001,1,9.99,Carlo,11
A,3.9.2012,17:10,2001,3,1.49,Carlo,11
A,3.9.2012,17:11,2007,5,2.49,Carlo,11
A,3.9.2012,17:11,4001,1,1.49,Carlo,11
A,3.9.2012,17:12,0001,1,9.99,Carlo,13
A,3.9.2012,17:12,4001,5,1.99,Carlo,13
A,3.9.2012,17:12,2147,5,6.49,Carlo,
A,3.9.2012,17:12,4001,1,1.49,Carlo,
A,3.9.2012,17:21,4001,2,1.99,Katharina,14
A,3.9.2012,18:10,0001,10,3.99,Carlo,
A,3.9.2012,18:10,2001,5,1.49,Carlo,
A,3.9.2012,18:11,2007,5,2.49,Carlo,0
B,3.9.2012,13:10,0007,1,9.99,Felix,11
B,3.9.2012,13:10,2001,2,1.49,Felix,11
B,3.9.2012,13:11,2007,5,2.39,Felix,11
B,3.9.2012,14:11,4001,1,1.59,Felix,11
B,3.9.2012,8:12,0001,1,9.99,Felix,13
B,3.9.2012,8:12,4001,5,1.99,Felix,
B,3.9.2012,8:12,2147,5,6.49,Felix,13
B,3.9.2012,8:12,4001,1,1.49,Felix,13
B,3.9.2012,8:21,4001,2,1.99,Felix,14
B,3.9.2012,9:10,0002,1,3.99,Felix,
B,3.9.2012,9:10,2001,1,1.49,Felix,
B,3.9.2012,9:11,2007,5,2.49,Felix,
B,3.9.2012,9:20,2147,1,2.49,Felix,
B,3.9.2012,9:20,2147,1,2.49,Felix,
B,3.9.2012,9:20,2147,1,2.49,Felix,
B,3.9.2012,10:20,2147,1,2.49,Felix,
A,3.9.2012,10:21,0001,1,9.99,Carlo,13
A,3.9.2012,10:21,2001,5,1.49,Carlo,13
